Site,Round,Tierce_Prediction
戸田,3R,1-5-3
戸田,4R,1-4-2
戸田,7R,1-2-5
戸田,8R,1-4-5
戸田,10R,1-2-4
戸田,11R,1-3-2
戸田,12R,1-2-3
蒲郡,3R,1-2-3
蒲郡,9R,1-3-2
蒲郡,10R,1-2-3
津,1R,1-3-4
津,2R,1-2-3
津,5R,1-2-3
津,6R,1-3-4
津,7R,1-3-2
津,8R,1-4-3
津,10R,1-3-4
津,11R,1-2-3
鳴門,1R,1-2-3
鳴門,12R,1-3-2
丸亀,1R,1-2-3
丸亀,4R,1-5-4
丸亀,6R,1-4-2
丸亀,9R,1-2-4
丸亀,10R,1-2-3
丸亀,11R,1-3-2
丸亀,12R,1-2-3
児島,3R,1-5-3
児島,7R,1-3-2
児島,9R,1-4-3
児島,11R,1-3-2
児島,12R,1-2-3
宮島,4R,1-3-2
宮島,5R,1-2-3
宮島,8R,1-4-2
宮島,10R,1-2-3
宮島,11R,1-3-4
宮島,12R,1-4-2
芦屋,2R,1-4-3
芦屋,3R,1-3-2
芦屋,4R,1-2-4
芦屋,8R,1-3-4
芦屋,11R,1-2-3
唐津,1R,1-2-4
唐津,7R,3-1-2
唐津,11R,1-2-6
大村,4R,1-2-3
大村,7R,1-3-2
大村,10R,1-2-4
大村,11R,1-2-4
