Site,Round,Tierce_Prediction
蒲郡,1R,1-2-3
蒲郡,3R,3-2-1
蒲郡,6R,1-4-2
蒲郡,9R,1-3-6
蒲郡,11R,1-3-4
常滑,4R,1-6-4
常滑,5R,1-2-3
常滑,10R,1-2-4
常滑,12R,1-3-2
津,5R,1-5-2
津,8R,1-3-4
津,9R,1-3-4
津,10R,1-2-5
三国,3R,1-3-4
三国,5R,1-2-4
鳴門,4R,1-4-2
鳴門,5R,2-1-4
鳴門,7R,1-2-5
鳴門,8R,1-3-2
鳴門,12R,1-2-3
丸亀,2R,1-3-2
丸亀,3R,1-2-3
丸亀,6R,1-3-4
宮島,2R,1-3-2
宮島,9R,1-4-2
徳山,4R,1-2-3
徳山,7R,1-4-3
徳山,9R,1-3-4
徳山,12R,1-2-3
下関,5R,1-4-3
下関,10R,1-4-3
下関,11R,1-2-4
下関,12R,1-2-3
若松,5R,1-4-2
若松,7R,1-3-4
若松,8R,1-3-2
若松,10R,1-3-2
芦屋,2R,1-4-3
芦屋,4R,1-4-2
芦屋,7R,1-2-3
芦屋,8R,1-4-3
芦屋,10R,1-4-2
芦屋,11R,1-3-2
芦屋,12R,1-4-3
大村,3R,1-2-3
大村,4R,1-3-2
大村,9R,1-3-4
大村,10R,1-2-4
大村,11R,1-3-2
大村,12R,1-2-3
